Hour,Taxi.stand,Destination,Route.No,Count
0,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,5
0,"Central, Tew Chew Street, SIngapore","17 Jiak Kim St, Singapore 169420",1.1,9
0,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1.2,1
1,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,3
1,"Central, Tew Chew Street, SIngapore","17 Jiak Kim St, Singapore 169420",1.1,4
1,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1.2,4
2,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,4
2,"Central, Tew Chew Street, SIngapore","17 Jiak Kim St, Singapore 169420",1.1,4
2,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1.2,1
3,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
3,"Central, Tew Chew Street, SIngapore","17 Jiak Kim St, Singapore 169420",1.1,3
3,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1.2,5
3,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,1
4,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,2
4,"Central, Tew Chew Street, SIngapore","17 Jiak Kim St, Singapore 169420",1.1,2
4,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1.2,2
4,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,3
5,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1,1
7,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",1,2
8,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",1,1
9,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",1,1
10,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,5
10,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,1
11,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",1,1
11,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,4
12,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,2
12,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,1
12,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",3,2
13,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,3
14,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
14,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,1
15,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
15,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,1
16,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
17,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,3
17,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,1
18,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
18,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,2
19,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,2
19,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,1
19,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",3,1
20,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,4
20,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",2,2
21,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,2
21,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,1
22,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,3
22,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,2
23,"Central, Tew Chew Street, SIngapore","10 Bayfront Ave, Singapore 018956",1,1
23,"Central, Tew Chew Street, SIngapore","7 Claymore Rd, Singapore 229538",2,2
23,"Central, Tew Chew Street, SIngapore","T1 Arrival Cres, Singapore",3,1
0,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1,5
1,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1,11
2,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1,1
3,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
3,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,2
4,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1,1
6,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
9,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
12,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
12,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
13,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
13,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
14,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,2
15,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
15,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
16,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,5
17,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
18,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
19,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,4
19,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
20,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,2
20,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
21,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1,3
22,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,3
22,"Centrepoint, Orchard Road, Singapore","Tan Tye Pl, Singapore",1.1,1
23,"Centrepoint, Orchard Road, Singapore","10 Bayfront Ave, Singapore 018956",1,1
0,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
1,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
3,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
6,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
8,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
9,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
11,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
12,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,3
13,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,4
14,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
15,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,3
16,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
17,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
18,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,5
20,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,3
21,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
22,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,1
23,"Grand Court Restaurant, Temple Street, Singapore","10 Bayfront Ave, Singapore 018956",1,2
0,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","10 Bayfront Ave, Singapore 018956",1,1
0,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","177A River Valley Rd, Singapore 179031",1.1,7
0,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","7 Claymore Rd, Singapore 229538",1.2,3
1,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","10 Bayfront Ave, Singapore 018956",1,1
1,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","177A River Valley Rd, Singapore 179031",1.1,3
1,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","7 Claymore Rd, Singapore 229538",1.2,6
2,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","10 Bayfront Ave, Singapore 018956",1,1
2,"Haw Par Glass Centre, Clemenceau Avenue, Singapore","177A River Valley Rd, Singapore 179031",1.1,2
